Município;Classificação de % em relação a população geral;% em relação a população geral;% em relação a população geral;População;Total Doses Aplicadas D1 + Única
BORÁ;1;88,902147971;88,902147971;838;745
URU;2;88,464874241;88,464874241;1153;1020
TURMALINA;3;86,438679245;86,438679245;1696;1466
ADOLFO;4;86,184580754;86,184580754;3554;3063
BOTUCATU;5;84,182812395;84,182812395;148130;124700
SANTANA DA PONTE PENSA;6;80,981595092;80,981595092;1467;1188
ÁGUAS DE SÃO PEDRO;7;80,829309855;80,829309855;3521;2846
FLORA RICA;8;80,769230769;80,769230769;1430;1155
ARCO-ÍRIS;9;80,710659898;80,710659898;1773;1431
NOVA CANAÃ PAULISTA;10;80,561555076;80,561555076;1852;1492
SANTA RITA D'OESTE;11;80,458383595;80,458383595;2487;2001
TUPI PAULISTA;12;79,984598601;79,984598601;15583;12464
SANTA SALETE;13;79,639175258;79,639175258;1552;1236
MENDONÇA;14;79,407008086;79,407008086;5565;4419
PARISI;15;79,345320424;79,345320424;2169;1721
SANTA CLARA D'OESTE;16;78,703265499;78,703265499;2113;1663
PEDRANÓPOLIS;17;78,637646110;78,637646110;2481;1951
FLOREAL;18;78,413793103;78,413793103;2900;2274
DOLCINÓPOLIS;19;78,172348485;78,172348485;2112;1651
SÃO JOÃO DO PAU D'ALHO;20;77,761904762;77,761904762;2100;1633
FLORÍNEA;21;77,723332077;77,723332077;2653;2062
ÁLVARES FLORENCE;22;77,515766383;77,515766383;3647;2827
ALFREDO MARCONDES;23;77,342256214;77,342256214;4184;3236
APARECIDA D'OESTE;24;76,791726792;76,791726792;4158;3193
POPULINA;25;76,565510597;76,565510597;4152;3179
LAGOINHA;26;76,048271630;76,048271630;4889;3718
NEVES PAULISTA;27;75,949792671;75,949792671;8923;6777
INDIAPORÃ;28;75,733401956;75,733401956;3886;2943
CÁSSIA DOS COQUEIROS;29;75,728542914;75,728542914;2505;1897
DIVINOLÂNDIA;30;75,726141079;75,726141079;11086;8395
CRUZÁLIA;31;75,659824047;75,659824047;2046;1548
TRÊS FRONTEIRAS;32;75,428669410;75,428669410;5832;4399
ASPÁSIA;33;74,972497250;74,972497250;1818;1363
PRESIDENTE BERNARDES;34;74,867542041;74,867542041;13023;9750
ADAMANTINA;35;74,782831591;74,782831591;35111;26257
BALBINOS;36;74,772497472;74,772497472;5934;4437
COSMORAMA;37;74,623184434;74,623184434;7298;5446
RUBINÉIA;38;74,605678233;74,605678233;3170;2365
MACEDÔNIA;39;74,512459372;74,512459372;3692;2751
SÃO FRANCISCO;40;74,405395811;74,405395811;2817;2096
JALES;41;74,307432776;74,307432776;49201;36560
CÂNDIDO RODRIGUES;42;74,276527331;74,276527331;2799;2079
TIMBURI;43;74,132730015;74,132730015;2652;1966
MAGDA;44;74,081237911;74,081237911;3102;2298
CEDRAL;45;74,074470362;74,074470362;9346;6923
MERIDIANO;46;74,006276151;74,006276151;3824;2830
ESTRELA D'OESTE;47;73,737973631;73,737973631;8419;6208
SANTA ALBERTINA;48;73,613417469;73,613417469;6022;4433
SANTA FÉ DO SUL;49;73,598869883;73,598869883;32563;23966
TORRE DE PEDRA;50;73,575557391;73,575557391;2422;1782
DUARTINA;51;73,393388563;73,393388563;12433;9125
MESÓPOLIS;52;73,333333333;73,333333333;1905;1397
OSCAR BRESSANE;53;73,261621206;73,261621206;2603;1907
ÁLVARO DE CARVALHO;54;73,189230186;73,189230186;5274;3860
GUARANI D'OESTE;55;73,073073073;73,073073073;1998;1460
PALMEIRA D'OESTE;56;72,894765363;72,894765363;9227;6726
TAIÚVA;57;72,807332854;72,807332854;5564;4051
RIBEIRÃO DOS ÍNDIOS;58;72,796762590;72,796762590;2224;1619
SANTOS;59;72,522690796;72,522690796;433656;314499
GABRIEL MONTEIRO;60;72,514409222;72,514409222;2776;2013
LOURDES;61;72,304347826;72,304347826;2300;1663
VITÓRIA BRASIL;62;72,210184182;72,210184182;1846;1333
ITAPIRA;63;72,208044235;72,208044235;75234;54325
DIRCE REIS;64;72,206781545;72,206781545;1799;1299
OCAUÇU;65;72,197622932;72,197622932;4291;3098
ÓLEO;66;72,197490894;72,197490894;2471;1784
ITAJOBI;67;72,079492711;72,079492711;15297;11026
PONTES GESTAL;68;72,060535506;72,060535506;2577;1857
ARARAS;69;71,990908152;71,990908152;135506;97552
ÁGUAS DA PRATA;70;71,986376353;71,986376353;8221;5918
PONGAÍ;71;71,970588235;71,970588235;3400;2447
POLONI;72;71,895959431;71,895959431;6113;4395
PEDRA BELA;73;71,767594108;71,767594108;6110;4385
SÃO JOÃO DA BOA VISTA;74;71,764500768;71,764500768;91771;65859
PAULISTÂNIA;75;71,646673937;71,646673937;1834;1314
FERNANDÓPOLIS;76;71,601682949;71,601682949;69402;49693
TUPÃ;77;71,430532256;71,430532256;65570;46837
SERRANA;78;71,428884410;71,428884410;45644;32603
NATIVIDADE DA SERRA;79;71,409214092;71,409214092;6642;4743
ÁGUAS DE LINDÓIA;80;71,389834113;71,389834113;18808;13427
