,target_city,top1,top2,top3,top4,top5
1,3500105,3505203,3500303,3539509,3552106,3516705
2,3500204,3529609,3522000,3508900,3547106,3508207
3,3500303,3505203,3500105,3516705,3526407,3538600
4,3500402,3546900,3523800,3553104,3514007,3554953
5,3500501,3502507,3501707,3546702,3503802,3524006
6,3500550,3552007,3518107,3505351,3543501,3502002
7,3500600,3527306,3556701,3503901,3509007,3509601
8,3500709,3525706,3550209,3518206,3517406,3533502
9,3500758,3536802,3554904,3532702,3520608,3548401
10,3500808,3501400,3527702,3515608,3548302,3525805
11,3500907,3540408,3502408,3501103,3520707,3503505
12,3501004,3521705,3508801,3530201,3541208,3535002
13,3501103,3502408,3503505,3540408,3542305,3500907
14,3501152,3519055,3521408,3505609,3507100,3521002
15,3501202,3542800,3528304,3506201,3522653,3539707
16,3501301,3538600,3527405,3526407,3517505,3531506
17,3501400,3515608,3527702,3500808,3509452,3543105
18,3501509,3549003,3514924,3510104,3548401,3525805
19,3501608,3552403,3548500,3552502,3541000,3518701
20,3501707,3503802,3551504,3524006,3500501,3502507
21,3501806,3547007,3512506,3503109,3545704,3547908
22,3501905,3529302,3546801,3522604,3510401,3527108
23,3502002,3512605,3554201,3523008,3533205,3500550
24,3502101,3533908,3523206,3536703,3537800,3505906
25,3502200,3502705,3537404,3521804,3507902,3529203
26,3502309,3512100,3552908,3532306,3553500,3550506
27,3502408,3501103,3540408,3503505,3500907,3542305
28,3502507,3546702,3500501,3503802,3524006,3501707
29,3502606,3505005,3543204,3543600,3540259,3528908
30,3502705,3502200,3537404,3507902,3529708,3521804
31,3502754,3548005,3512209,3504602,3546603,3535101
32,3502804,3530706,3529005,3538006,3525300,3503208
33,3502903,3534609,3551603,3525201,3519303,3518602
34,3503000,3529500,3517307,3516804,3507704,3530409
35,3503109,3545704,3547908,3542008,3501806,3544806
36,3503158,3544707,3532843,3546256,3541802,3530003
37,3503208,3548906,3529005,3538006,3523909,3502804
38,3503307,3525300,3506508,3554003,3530706,3504008
39,3503356,3536570,3515806,3532868,3507209,3555901
40,3503406,3515350,3512902,3518859,3550001,3517802
41,3503505,3501103,3502408,3542305,3540408,3552551
42,3503604,3551900,3540903,3510302,3505807,3557303
