,Unnamed: 0,CNES,UF,IBGE,NOME,LOGRADOURO,BAIRRO,LATITUDE,LONGITUDE
0,59,9407,35,354990,UBS ALTO DA PONTE,RUA ALZIRO LEBRAO,ALTO DA PONTE,-23.179,-45.887
1,112,398306,35,354520,CLINICA SALTO SAUDE MOUTONNEE,ROD ROCHA MOTONNEE,GUARAU,-23.201,-47.287
2,117,8281,35,353440,UBS MARIA PIA DE OLIVEIRA,RUA SATURNO,JAD MAURINOPOLIS,-23.56116,-46.79795
3,168,8095,35,353440,UBS DARCY ALVES E ROBALINHO,AVENIDA SAO JOSE,VIL SAO JOSE,-23.51367,-46.76427
4,169,8109,35,353440,UBS SYLVIO JOAO L DE LUCIA,RUA JOAO FLORENCIO FONTES,JARDIM ELVIRA,-23.5331,-46.79206
5,170,8117,35,353440,UBS MARIA GIRADE CURY,RUA THEOFILO MUNHOZ VAQUEIRO,JD NOVO OSASCO,,
6,171,8125,35,353440,UBS LUCIANO RODRIGUES COSTA,PRACA MARIA JOSE DA SILVEIRA,JAD ROBERTO,-23.533,-46.792
7,172,8133,35,353440,UBS VILA MENCK,R RIBEIRAO PIRES,VIL MENCK,-23.53377,-46.76674
8,173,8168,35,353440,UBS MARIA GATTI GIGLIO,AV DAS FLORES,JD DAS FLORES,-23.53293,-46.79202
9,174,8176,35,353440,UBS NEYDE ALVES DA SILVA,RUA AMEIXEIRA,CIDADE DAS FLORES,-23.53188,-46.80686
10,175,8206,35,353440,UBS SANTA MARIA GORETTI,AVN ANALICE SAKATAUSKAS,VIL ALIANCA,-23.55452,-46.78128
11,176,8214,35,353440,UBS JOSE HILARIO DOS SANTOS,RUA AMADOR BUENO,JD PIRATININGA,-23.51845,-46.79453
12,177,8222,35,353440,UBS VASCO DA ROCHA LEAO,RUA JOSE PATROCINIO,JAD VELOSO,-23.53305,-46.79174
13,178,8230,35,353440,UBS GETULINO JOSE DIAS,RUA JOANA PEREIRA DIAS,PADROEIRA II,-23.55767,-46.81105
14,179,8249,35,353440,UBS ANUNCIATA DE LUCIA,RUA SAO JORGE,VIL ISABEL,-23.53583,-46.80385
15,180,8257,35,353440,UBS OTACILIO FIRMINO LOPES,RUA GRANADA,VIL NOVA AYROSA,-23.5073,-46.7668
16,181,8265,35,353440,UBS FRANCISCA LIMA DE LIRA,RUA JUSCELINO KUBITSCHEK DE OLIVEIRA,PORTAL DOESTE,-23.49213,-46.79167
17,182,8273,35,353440,UBS PE GUERRINO RICIOTTI,RUA SANTO UBALDO,VIL DOS REMEDIOS,-23.52138,-46.75462
18,183,8303,35,353440,UBS JOSE FRANCISCO REZENDE,RUA CONCEICAO SIGLIANO,VIL YOLANDA,-23.52893,-46.79596
19,184,8311,35,353440,UBS SANTA GEMA GALGANI,RUA JOSE ALBINO FREIXEDA,PRES ALTINO,-23.52777,-46.76646
20,186,8346,35,353440,UBS FRANCISCO DIAS DA SILVA,RUA MAL EDGAR DE OLIVEIRA,VIL QUITAUNA,-23.53305,-46.79223
21,187,8362,35,353440,UBS RAIMUNDA CAVALCANTE DE SOUZA,RUA PRF ADELAIDE ESCOBAR BUENO,MUNHOZ JR,-23.53297,-46.79199
22,188,8370,35,353440,UBS JOSE SABINO FERREIRA,RUA LUIS GATTI,JD BARONESA,-23.49731,-46.78573
23,189,8397,35,353440,UBS ODUVALDO MAGLIO,RUA ANSELMO PEDRO DE MEDEIROS,CAMPESINA,-23.54493,-46.76346
24,190,8400,35,353440,UBS DR ADAUTO RIBEIRO,RUA SERRA DO RONCADOR,JAD TRES MONTANHAS,-23.4797,-46.78318
25,191,8419,35,353440,UBS LIA BUARQUE DE MACEDO GASPARINI,AVENIDA CLOVIS ASSAF,VILA DA CONQUISTA,-23.57709,-46.80465
26,192,8427,35,353440,UBS GUILHERMINA DE NOBREGA ABREU,AV EXPEDITO IZIDIO DE ANDRADE,CJ DOS METALURGICOS,,
27,193,8524,35,354780,UBS PARANAPIACABA,AVENIDA FFORD,PARANAPIACABA,-23.664,-46.538
28,194,8575,35,354780,UBS VILA LINDA,RUA INGA,VILA LINDA,-23.69219,-46.52022
29,195,8583,35,354780,UBS VILA LUCINDA,RUA CACONDE,VILA LUCINDA,-23.62524,-46.5155
30,196,8591,35,354780,UBS CAMPESTRE,RUA DAS FIGUEIRAS,CAMPESTRE,-23.64389,-46.54795
31,197,8621,35,354780,UBS PARQUE DAS NACOES,PRACA WALDEMAR SOARES,PARQUE DAS NACOES,-23.63897,-46.51872
32,198,8672,35,354780,UBS PARQUE JOAO RAMALHO,RUA MARAGOGIPE,PARQUE JOAO RAMALHO,-23.64631,-46.50953
33,199,8761,35,354780,UBS CENTREVILLE,RUA BEZERRA DE MENEZES,CENTREVILLE,-23.67306,-46.4947
34,200,8885,35,354780,UBS RECREIO DA BORDA DO CAMPO,AVENIDA MICO LEAO DOURADO,RECREIO BORDA CAMPO,-23.73182,-46.48132
35,201,8931,35,354780,UBS JARDIM ITAPOAN ANA MARIA,RUA OTAVIO MANGABEIRA,JARDIM ANA MARIA,-23.62982,-46.49102
36,202,8958,35,354780,UBS CENTRO,RUA CAMPOS SALES,CENTRO,-23.6583,-46.52403
